,word,positive,negative
1322,@fayobserver,1,0
1323,detail,1,0
1324,smash,1,0
1325,citylnkd,1,0
1326,music,1,0
1327,@madam_president:,1,0
1328,hav,1,0
1329,lots,1,0
1330,mangoes,1,0
1331,west,1,0
1332,fayettevillenc,1,0
1333,came,1,0
1334,workers,1,0
1335,markers,1,0
1336,soooooo,1,0
1337,co/bkwshkscue,1,0
1338,pbl,1,0
1339,ah,1,0
1340,recording,1,0
1341,stressful,1,0
1342,co/sptlbylhvr,1,0
1343,mystery,1,0
1344,05,1,0
1345,7,1,0
1346,seems,1,0
1347,tt,1,0
1348,@arlir,1,0
1349,football,1,0
1350,freshfriday,1,0
1351,parton,1,0
1352,@pugnoodless:,1,0
1353,ye,1,0
1354,co/o3xxucvqi9,1,0
1355,serve,1,0
1356,life),1,0
1357,wore,1,0
1358,staff,1,0
